Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Response_Time_Min,Sentiment
CONV-0287,Printer not responding,Follow the software installation guide.,43 minutes,Software,Escalated,2,neutral
CONV-0288,Blue screen error,Restart your router.,29 minutes,Hardware,Pending,15,negative
CONV-0289,Unable to access email,Reset your password using the link provided.,98 minutes,Performance,Resolved,13,neutral
CONV-0290,Printer not responding,Reinstall the printer drivers.,19 minutes,Performance,Escalated,39,neutral
CONV-0291,Printer not responding,Follow the software installation guide.,93 minutes,Network,Escalated,12,neutral
CONV-0292,Forgot password,Reinstall the printer drivers.,17 minutes,Account,Pending,16,neutral
CONV-0293,Software installation failure,Verify your email settings.,16 minutes,Account,Escalated,2,negative
CONV-0294,Printer not responding,Restart your router.,52 minutes,Hardware,Resolved,21,neutral
CONV-0295,Blue screen error,Clear cache and remove unnecessary programs.,97 minutes,Software,Pending,11,negative
CONV-0296,Unable to access email,Clear cache and remove unnecessary programs.,66 minutes,Performance,Pending,10,neutral
CONV-0297,Unable to access email,Clear cache and remove unnecessary programs.,43 minutes,Software,Pending,11,neutral
CONV-0298,Printer not responding,Clear cache and remove unnecessary programs.,31 minutes,Account,Pending,3,neutral
CONV-0299,Slow system performance,Follow the software installation guide.,75 minutes,Hardware,Resolved,52,neutral
CONV-0300,Slow system performance,Follow the software installation guide.,99 minutes,Performance,Resolved,27,neutral
CONV-0301,Cannot connect to Wi-Fi,Verify your email settings.,66 minutes,Network,Escalated,17,neutral
CONV-0302,Slow system performance,Reset your password using the link provided.,119 minutes,Hardware,Resolved,38,neutral
CONV-0303,Unable to access email,Clear cache and remove unnecessary programs.,43 minutes,Performance,Pending,31,neutral
CONV-0304,Cannot connect to Wi-Fi,Reset your password using the link provided.,11 minutes,Hardware,Escalated,53,neutral
CONV-0305,Printer not responding,Follow the software installation guide.,30 minutes,Software,Resolved after follow-up,14,neutral
CONV-0306,Blue screen error,Run a system diagnostic tool.,110 minutes,Account,Pending,9,negative
CONV-0307,Forgot password,Follow the software installation guide.,70 minutes,Performance,Resolved,37,neutral
CONV-0308,Forgot password,Reset your password using the link provided.,32 minutes,Software,Resolved after follow-up,8,neutral
CONV-0309,Unable to access email,Reset your password using the link provided.,97 minutes,Hardware,Resolved after follow-up,15,neutral
CONV-0310,Unable to access email,Verify your email settings.,69 minutes,Performance,Resolved after follow-up,15,neutral
CONV-0311,Blue screen error,Reset your password using the link provided.,89 minutes,Performance,Escalated,15,negative
CONV-0312,Printer not responding,Verify your email settings.,98 minutes,Performance,Resolved,20,neutral
CONV-0313,Software installation failure,Run a system diagnostic tool.,100 minutes,Performance,Pending,44,negative
CONV-0314,Blue screen error,Reset your password using the link provided.,73 minutes,Software,Resolved after follow-up,8,negative
CONV-0315,Slow system performance,Run a system diagnostic tool.,103 minutes,Network,Pending,21,neutral
CONV-0316,Forgot password,Clear cache and remove unnecessary programs.,114 minutes,Account,Resolved after follow-up,17,neutral
CONV-0317,Blue screen error,Restart your router.,80 minutes,Account,Resolved,12,negative
CONV-0318,Unable to access email,Reinstall the printer drivers.,40 minutes,Account,Resolved,14,neutral
CONV-0319,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,40 minutes,Software,Resolved after follow-up,6,neutral
CONV-0320,Cannot connect to Wi-Fi,Reinstall the printer drivers.,38 minutes,Software,Resolved after follow-up,3,neutral
CONV-0321,Forgot password,Restart your router.,17 minutes,Software,Escalated,8,neutral
CONV-0322,Slow system performance,Follow the software installation guide.,95 minutes,Performance,Resolved,44,neutral
CONV-0323,Slow system performance,Follow the software installation guide.,5 minutes,Software,Resolved after follow-up,9,neutral
CONV-0324,Unable to access email,Run a system diagnostic tool.,32 minutes,Network,Pending,8,neutral
CONV-0325,Printer not responding,Clear cache and remove unnecessary programs.,80 minutes,Network,Resolved,22,neutral
CONV-0326,Forgot password,Verify your email settings.,114 minutes,Performance,Resolved,20,neutral
CONV-0327,Software installation failure,Clear cache and remove unnecessary programs.,59 minutes,Network,Escalated,7,negative
CONV-0328,Software installation failure,Clear cache and remove unnecessary programs.,77 minutes,Hardware,Pending,47,negative
CONV-0329,Cannot connect to Wi-Fi,Run a system diagnostic tool.,79 minutes,Account,Resolved after follow-up,17,neutral
CONV-0330,Slow system performance,Run a system diagnostic tool.,64 minutes,Account,Resolved,14,neutral
CONV-0331,Slow system performance,Restart your router.,96 minutes,Hardware,Resolved after follow-up,53,neutral
CONV-0332,Software installation failure,Restart your router.,94 minutes,Software,Escalated,10,negative
CONV-0333,Cannot connect to Wi-Fi,Restart your router.,64 minutes,Performance,Resolved after follow-up,16,neutral
CONV-0334,Software installation failure,Run a system diagnostic tool.,104 minutes,Performance,Resolved after follow-up,20,negative
CONV-0335,Software installation failure,Run a system diagnostic tool.,31 minutes,Network,Escalated,20,negative
CONV-0336,Slow system performance,Restart your router.,62 minutes,Performance,Resolved after follow-up,24,neutral
CONV-0337,Forgot password,Run a system diagnostic tool.,22 minutes,Network,Pending,13,neutral
CONV-0338,Blue screen error,Reset your password using the link provided.,44 minutes,Hardware,Resolved after follow-up,50,negative
CONV-0339,Software installation failure,Verify your email settings.,45 minutes,Software,Resolved,3,negative
CONV-0340,Cannot connect to Wi-Fi,Reinstall the printer drivers.,111 minutes,Software,Resolved,10,neutral
CONV-0341,Unable to access email,Restart your router.,52 minutes,Network,Resolved after follow-up,16,neutral
CONV-0342,Slow system performance,Reset your password using the link provided.,86 minutes,Network,Pending,21,neutral
CONV-0343,Cannot connect to Wi-Fi,Verify your email settings.,102 minutes,Hardware,Resolved,31,neutral
CONV-0344,Cannot connect to Wi-Fi,Restart your router.,46 minutes,Performance,Resolved,32,neutral
CONV-0345,Slow system performance,Reset your password using the link provided.,15 minutes,Software,Resolved after follow-up,7,neutral
CONV-0346,Forgot password,Verify your email settings.,5 minutes,Hardware,Resolved after follow-up,12,neutral
CONV-0347,Slow system performance,Reset your password using the link provided.,27 minutes,Account,Pending,4,neutral
CONV-0348,Printer not responding,Reinstall the printer drivers.,21 minutes,Software,Pending,11,neutral
CONV-0349,Slow system performance,Restart your router.,101 minutes,Performance,Resolved after follow-up,24,neutral
CONV-0350,Blue screen error,Run a system diagnostic tool.,63 minutes,Performance,Resolved after follow-up,40,negative
CONV-0351,Unable to access email,Reset your password using the link provided.,68 minutes,Hardware,Resolved,25,neutral
CONV-0352,Blue screen error,Verify your email settings.,62 minutes,Performance,Pending,43,negative
CONV-0353,Slow system performance,Clear cache and remove unnecessary programs.,37 minutes,Software,Resolved,5,neutral
CONV-0354,Printer not responding,Reinstall the printer drivers.,111 minutes,Account,Resolved after follow-up,16,neutral
CONV-0355,Forgot password,Run a system diagnostic tool.,96 minutes,Network,Resolved after follow-up,5,neutral
CONV-0356,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,90 minutes,Network,Resolved after follow-up,16,neutral
CONV-0357,Printer not responding,Reinstall the printer drivers.,17 minutes,Network,Resolved,25,neutral
CONV-0358,Printer not responding,Run a system diagnostic tool.,71 minutes,Network,Pending,9,neutral
CONV-0359,Printer not responding,Clear cache and remove unnecessary programs.,39 minutes,Performance,Pending,20,neutral
CONV-0360,Unable to access email,Follow the software installation guide.,96 minutes,Hardware,Resolved,14,neutral
CONV-0361,Unable to access email,Clear cache and remove unnecessary programs.,86 minutes,Hardware,Pending,26,neutral
CONV-0362,Slow system performance,Reinstall the printer drivers.,50 minutes,Performance,Resolved,30,neutral
CONV-0363,Printer not responding,Verify your email settings.,38 minutes,Hardware,Resolved,58,neutral
CONV-0364,Software installation failure,Reset your password using the link provided.,110 minutes,Account,Escalated,13,negative
CONV-0365,Printer not responding,Verify your email settings.,98 minutes,Hardware,Pending,45,neutral
CONV-0366,Blue screen error,Verify your email settings.,23 minutes,Performance,Pending,22,negative
CONV-0367,Forgot password,Reinstall the printer drivers.,78 minutes,Hardware,Pending,43,neutral
CONV-0368,Software installation failure,Run a system diagnostic tool.,88 minutes,Hardware,Pending,39,negative
CONV-0369,Printer not responding,Restart your router.,27 minutes,Network,Escalated,9,neutral
CONV-0370,Cannot connect to Wi-Fi,Run a system diagnostic tool.,8 minutes,Performance,Pending,11,neutral
CONV-0371,Unable to access email,Verify your email settings.,34 minutes,Account,Resolved,3,neutral
CONV-0372,Unable to access email,Reinstall the printer drivers.,105 minutes,Account,Escalated,9,neutral
CONV-0373,Slow system performance,Reset your password using the link provided.,15 minutes,Performance,Escalated,33,neutral
CONV-0374,Printer not responding,Follow the software installation guide.,73 minutes,Hardware,Pending,49,neutral
CONV-0375,Slow system performance,Reset your password using the link provided.,69 minutes,Account,Escalated,19,neutral
CONV-0376,Blue screen error,Clear cache and remove unnecessary programs.,70 minutes,Account,Resolved after follow-up,10,negative
CONV-0377,Cannot connect to Wi-Fi,Reinstall the printer drivers.,55 minutes,Hardware,Resolved,11,neutral
CONV-0378,Slow system performance,Restart your router.,22 minutes,Performance,Resolved,43,neutral
CONV-0379,Cannot connect to Wi-Fi,Verify your email settings.,80 minutes,Software,Pending,12,neutral
CONV-0380,Blue screen error,Reset your password using the link provided.,63 minutes,Account,Resolved,6,negative
CONV-0381,Slow system performance,Reset your password using the link provided.,86 minutes,Performance,Resolved,21,neutral
CONV-0382,Slow system performance,Clear cache and remove unnecessary programs.,80 minutes,Account,Resolved after follow-up,15,neutral
CONV-0383,Printer not responding,Clear cache and remove unnecessary programs.,22 minutes,Software,Escalated,4,neutral
CONV-0384,Blue screen error,Reset your password using the link provided.,69 minutes,Software,Resolved,11,negative
CONV-0385,Cannot connect to Wi-Fi,Run a system diagnostic tool.,6 minutes,Network,Escalated,23,neutral
CONV-0386,Unable to access email,Reset your password using the link provided.,95 minutes,Network,Pending,7,neutral
CONV-0387,Slow system performance,Reinstall the printer drivers.,37 minutes,Performance,Resolved,30,neutral
CONV-0388,Printer not responding,Reinstall the printer drivers.,112 minutes,Network,Pending,27,neutral
CONV-0389,Printer not responding,Verify your email settings.,107 minutes,Network,Resolved after follow-up,24,neutral
CONV-0390,Forgot password,Verify your email settings.,10 minutes,Hardware,Resolved after follow-up,37,neutral
CONV-0391,Blue screen error,Clear cache and remove unnecessary programs.,19 minutes,Performance,Resolved,32,negative
CONV-0392,Blue screen error,Run a system diagnostic tool.,107 minutes,Network,Resolved,26,negative
CONV-0393,Forgot password,Reset your password using the link provided.,75 minutes,Hardware,Resolved after follow-up,10,neutral
CONV-0394,Blue screen error,Run a system diagnostic tool.,27 minutes,Hardware,Resolved,21,negative
CONV-0395,Blue screen error,Follow the software installation guide.,78 minutes,Network,Escalated,11,negative
CONV-0396,Software installation failure,Run a system diagnostic tool.,74 minutes,Account,Resolved after follow-up,14,negative
CONV-0397,Blue screen error,Restart your router.,118 minutes,Account,Escalated,5,negative
CONV-0398,Blue screen error,Restart your router.,78 minutes,Account,Resolved,13,negative
CONV-0399,Printer not responding,Verify your email settings.,67 minutes,Hardware,Resolved,18,neutral
CONV-0400,Forgot password,Restart your router.,18 minutes,Hardware,Pending,56,neutral
